NtSetSystemInformation:: 0x4c0324
ExCheckFullProcessInformationAccess:: 0x4480d0
MiCombinePte:: 0xb28e0
SepSetTokenCachedHandles:: 0x4c6eac
AlpcpDispatchReplyToPort:: 0x4fe05c
MiFlushStrongCodeDriverLoadFailures:: 0x828380
KeAbPostRelease:: 0xc04f0
CmpCloneKCBValueListForTrans:: 0x57e5c8
PopGetDope:: 0x113a94
CmpDeleteHive:: 0x48dbc
NtWaitForWorkViaWorkerFactory:: 0x7e3e0
MiGetVadWakeList:: 0x93b80
IopAddBootDiskInformation:: 0x127e24
NtSetSystemInformation$filt$14:: 0x5eeedb
IopQueryDeviceResetRegistrySettings:: 0x82d63c
PspJobIoRateVolumeEntryRemoveAll:: 0x13c48
WbUpdateHeapExecutedCallArgumentList:: 0x49a040
FsRtlCancellableWaitForMultipleObjects:: 0x549fe0
MiTrimmedEnough:: 0x34d0
PiDqIrpPropertySet$filt$0:: 0x6bb74c
MiInitializeSystemVa:: 0x822584
EtwpPowerStateCallback:: 0x5db020
FsRtlpOplockBreakByCacheFlags$fin$0:: 0x174990
HeadlessTerminalAddResources:: 0x5a0fbc
ObpMarkDirectoryTreeTemporary:: 0x56b6a0
wcstoxlX:: 0x1451c4
KiRequestSoftwareInterrupt:: 0x695e4
KiSetTimerEx:: 0x37930
OpenGlobalizationUserSettingsKey:: 0x138bb4
PiDevCfgConfigureSoftwareDevices:: 0x56d8a4
ExpFastResourceLegacyConvertExclusiveToShared:: 0x1272f0
DrvDbSetDriverInfFileMappedProperty:: 0x43f6d4
PfFileInfoNotify:: 0x4410
SmFirstTimeInit:: 0x9250
EtwSetInformation:: 0x594890
IopTestConfiguration:: 0x585dc8
KeInitSystem:: 0x83e20c
AdtpBuildMessageString:: 0x5b8398
MiDereferenceSegmentThread:: 0x131540
MiUnmapVad:: 0x514dc0
IopGetSetObjectId:: 0x576b44
PiDevCfgEnforceDevicePolicy:: 0x59131c
IoIsActivityTracingEnabled:: 0xfbaa0
PnpFreeInterruptInformation:: 0x4878b0
FlushTimerCallbackKernelMode:: 0x116df0
MiLoadUserSymbols:: 0x5da80c
KeGetAffinitizedInterruptsInfo$filt$0:: 0x204929
PspNotificationPacketCallback:: 0x456c90
IopGetFileVolumeNameInformation:: 0x114c20
_CmSetDeviceMappedPropertyFromDriverKeyRegValue:: 0x4a83d4
DbgkCreateThread:: 0x4fb784
CmpTraceHiveLoadStart:: 0x4cd0d0
PopFilterCapabilities:: 0x4bb56c
PopUmpoInitializeChannel:: 0x84997c
AslpFileGetImageNtHeader$filt$0:: 0x76afff
PopEtGetProcessSidAndPackageIdentity:: 0x43ee54
SeInitSystem:: 0x841918
PspEnforceLimits:: 0x454540
SeCopyClientToken:: 0x517fa4
KeBalanceSetManager:: 0x12f310
AlpcpAllocateMessage:: 0x4fda74
MiUnmapImageInSystemSpace:: 0x4a4370
PsGetEffectiveContainerId:: 0x1036c0
PiCMGetDeviceInterfaceAlias:: 0x4468f0
PopInternalUpdateActiveStopWatchesCollectionState:: 0x45d40
KeGetExecuteOptions:: 0x57e08c
EtwpCoverageRecord:: 0x55d414
SdbInitDatabaseInMemory:: 0x54bc58
MiMakeSystemCacheRangeValid:: 0xc8c00
PspCallProcessNotifyRoutines:: 0x513e4c
IopAddTriageDumpDataBlock:: 0x13fb5c
TtmpDisplayBurstPowerSettingCallback:: 0x5d58b0
_CmGetMatchingFilteredDeviceInterfaceListWorker:: 0x5d7958
CcWaitForCurrentLazyWriterActivityInternal:: 0x13f37c
PnpFixupID:: 0x47a570
PipClearDevNodeUserFlags:: 0x45ff5c
CmpDelayDerefKeyControlBlock:: 0x4e1710
HvlReadPerformanceStateCounters:: 0x134330
KeSetEvent:: 0x84960
EtwTraceSiloKernelEvent:: 0x4c3fc
IopWaitForSynchronousIo:: 0x4fe6c
PopDiagTraceDeviceAcquireIrp:: 0x10f3ac
PsInsertPermanentSiloContextEx:: 0x5a8408
PfpOpenHandleCreate:: 0x43795c
PoDiagCaptureUsermodeStack:: 0x444d9c
NtCreateRegistryTransaction:: 0x57cd58
MiGetTopLevelPfn:: 0x7a890
CmObReferenceObjectByHandle:: 0x4dfbc0
NtQueryDefaultLocale$filt$0:: 0x5f2da8
ExSetTimer:: 0x33d80
HvpMapEntryIsBinPresent:: 0x355ac
FsRtlSendModernAppTermination:: 0x33040
PfSnActivateTrace:: 0x2afc
MiMapBBTMemory:: 0x84d1cc
PspAssignProcessToJob:: 0x457390
ExpAllocateBigPool:: 0x39420
MmImageSectionPagable:: 0x545d7c
CountUnicodeToUTF8:: 0x10eb14
PpDevCfgProcessDeviceReset:: 0x44a6ac
FsRtlGetNextFileLock:: 0x140070
MmQueryCommitReleaseState:: 0x10f8e0
PiCMGetDeviceInterfaceList:: 0x4636c4
CmpSyncKeyValues:: 0x592c74
FsRtlCheckUpperOplock:: 0x5d9220
KiAddThreadToPrcbQueue:: 0x40158
ObWaitForSingleObject$filt$0:: 0x6e6b32
WmipSecurityMethod:: 0x4e8260
SepAddLuidToIndexEntry:: 0x49972c
NtCreateTimer:: 0x535b3c
InitSkuSessionParameters:: 0x84b484
KiVerifyXcpt12$filt$3:: 0x8524cc
PopDiagTraceBatteryTriggerFlags:: 0x5ae29c
CmpTransWriteLog:: 0x5bc7a8
PopSetPowerSettingValue:: 0x4da534
ExProcessorCounterSetCallback:: 0x47ee90
FsRtlQueryInformationFile$fin$0:: 0x6a8204
RtlpLookupLowBox:: 0xb913c
MiSessionCreateInternal:: 0x599fc8
PfFbLogEntryReserve:: 0x4a9c8
MiUpdatePageTableUseCount:: 0xab594
IopQueryResourceHandlerInterface:: 0x5858c4
AslpFileMappingGetFileKind$filt$0:: 0x5f343e
KiVerifyXcpt12$filt$4:: 0x8524ef
WmipLinkDataSourceToList:: 0x48ae2c
CreateTlgAggregateSession:: 0x596304
FsRtlTruncateSmallMcb$filt$0:: 0x2834e2
RtlFindNextForwardRunClearCappedEx:: 0x3a510
MiDecommitPages:: 0x97270
CmpCleanupTransactionState:: 0x5cec68
SC_DEVICE::Initialize:: 0x129b40
KiAbTryIncrementIoWaiterCounts:: 0xbb9f0
PspCreateObjectHandle:: 0x516b4c
KiVerifyXcptFinally$fin$0:: 0x852689
LdrpResGetResourceDirectory:: 0x4d4bb4
RaspScaleCoordinates:: 0x1246a4
MiRemoveViewsFromSection:: 0xb4aa4
KiVerifyXcptFinally$fin$1:: 0x8526c2
PpvUtilCallAddDevice:: 0xe2404
ExUpdateOsPfnInRegistry$fin$0:: 0x74df6a
MiMakeSystemAddressValidSystemWs:: 0x106914
EtwpCoverageEnsureContext:: 0x5d2b3c
MiEnablePartitionMappedWrites:: 0x4a3e8c
IopValidateSectionSize:: 0x1f1974
KiAcquireKobjectLockSafe:: 0x1db90
HvlDebuggerSupportInitialize:: 0x141fa8
CcSetVacbInFreeList:: 0x5f57c
KeQueryLogicalProcessorRelationship:: 0xe6620
MiFlushRelease:: 0xb4f0c
CcFreeUnusedVacbLevels:: 0x10b74c
RtlpConvertFunctionEntry:: 0x104870
PspInitializeThunkContext:: 0x4fbc60
KiSetProcessorIdle:: 0x10dc64
PnpCompileDeviceInstancePaths:: 0x589260
CmpParseInfBuffer:: 0x83da88
CmpGetKcbAtLayerHeight:: 0x4e5bf4
SepDeleteAccessState:: 0xbe6b0
HvpMapHiveImageFromFile:: 0x544524
WbAddHeapExecutedBlockToCache:: 0x49b194
FsRtlpOplockSendModernAppTermination:: 0x32f54
