HalpRestoreDmaControllerState:: 0x9a1380
PoInitHiberServices:: 0x7894d8
KiWakeQueueWaiter:: 0x233490
KeAcquireInStackQueuedSpinLock:: 0x2a8800
PnpSetDeviceAffinityThread:: 0x2f05d4
MiCheckFatalAccessViolation:: 0x33ef30
NtAlpcCreateResourceReserve:: 0x6e6fd0
PspInitializeProtectedProcessParameters:: 0x78c6d8
CcForceWriteThrough:: 0x34aa8c
LdrpGetFromMUIMemCache:: 0x2ddadc
PfpFlushBuffers:: 0x64a7c0
CmpInitializeRegistryProcess:: 0x78759c
KsepRegistryQuerySZ:: 0x7ad220
RtlCmDecodeMemIoResource:: 0x34e640
SeCaptureSidAndAttributesArray:: 0x6540f0
wil_details_StagingConfig_Load:: 0x376350
CcGetVacbMiss:: 0x287d10
SeDefaultObjectMethod:: 0x61a7d0
PspUnlockProcessListExclusive:: 0x2e0f0c
KiProcessThreadWaitList:: 0x2331e0
NtSetIoCompletionEx:: 0x60bf10
WheaLogInternalEvent:: 0x3a4ef0
EtwpUpdateRegEntryEnableMask:: 0x6431a0
HalpSetTimer:: 0x276964
HalpAuditSlicTables:: 0xa71060
ExpFreeHandleTableEntry:: 0x69667c
MiGetPhysicalMemoryRanges:: 0x75e838
CmpCloseKeyObject:: 0x6dd400
PfpPfnPrioRequest:: 0x5fdbb0
RtlpCreateHashTable:: 0x361570
IopCreateArcNamesDisk:: 0xa60bcc
PiDevCfgConfigureDeviceDriver:: 0x756080
IoCancelThreadIo:: 0x5e82e4
PnpNotifyTargetDeviceChange:: 0x67ec78
DbgUnicodeStringToAnsiString:: 0x35d2d4
PipApplyFunctionToServiceInstances:: 0x7af5a0
SeAccessCheckWithHint:: 0x220230
KsepDbCacheQueryDevice:: 0x74d488
FsRtlNotifyFilterChangeDirectoryLite$fin$0:: 0x7d8be8
PopIdleCancelAoAcDozeS4Timer:: 0x36d194
KeQuerySchedulingGroupReadyTime:: 0x2e3e44
KeInitializeSchedulerAssist:: 0xa57ab0
VrpHandleIoctlCreateNamespaceNode:: 0x5d6c9c
HalpAcquireCmosSpinLock:: 0x24d0dc
PoClearPowerRequest:: 0x203760
MiScanPagefiles:: 0x2e7a7c
_CmGetDeviceMappedProperty:: 0x630dac
SepCleanupLUIDDeviceMapDirectory:: 0x5ddf28
IopSymlinkPropagateToExtensionIfNeeded:: 0x611d80
HalpDmaIsThinApiCapable:: 0x3b0e60
MiUpdateLastSubsectionSize:: 0x349260
MiUnlockDynamicMemoryExclusive:: 0x2f3da8
PnpDeviceCompletionQueueIsEmpty:: 0x35954c
MmFlushVirtualMemory:: 0x6e2114
RtlpFreeHeapInternal:: 0x313624
NtCreateEnclave$filt$0:: 0x8df7e1
IoWMIQuerySingleInstance:: 0x7453a0
MiDeprioritizeVad:: 0x36d2e4
CmSetLazyFlushState:: 0x769990
CmpKeyEnumStackAdvanceInternal:: 0x719f0c
MiInitializeLargePageColorSizes:: 0x395d50
_RegRtlOpenKeyTransacted:: 0x62a6ec
ExpSetDriverEntry$filt$0:: 0x95ddd2
AlpcpCreateSecurityContext:: 0x6091c0
WbDecryptWarbirdEncryptionSegmentBlockV0:: 0x5dad30
MiEmptyKernelStackCache:: 0x3b8ef4
PopDiagTraceFxDevicePowerRequirement:: 0x2e02cc
PopAcquireAdaptiveLock:: 0x715488
KeInsertQueueEx:: 0x32a420
RtlUnicodeToOemN:: 0x6e8740
PopDiagTraceIrpStart:: 0x35af24
PopCallPowerSettingCallback:: 0x5e1620
CmpVolumeContextUnlockExclusive:: 0x7b6a20
LookupSidInTable:: 0x6a9b1c
CmpNotifyChangeKey:: 0x6292c0
FsRtlCheckUpperOplock$fin$0:: 0x897ea4
CcSetAdditionalCacheAttributesEx:: 0x329ef0
MiInitializePagefileBitmapsCache:: 0x3a9fa4
HalpCalculateScatterGatherListSize:: 0x310e50
MiRemoveMappedPtes:: 0x26a850
PnpAllocatePWSTR:: 0x677d38
KiTimerExpirationDpc:: 0x373770
MiObtainFaultCharges:: 0x21e3c0
PopBatteryUpdateAlarms:: 0x78abd0
MiInsertNumaStandbyPage:: 0x315ee0
FopGetTableOffsetAndSize:: 0xaa445c
IoApplyPriorityInfoThread:: 0x275d10
FseInitializeFeatureConfigurationTable:: 0x398b98
TxtpAddCacheEntry:: 0xa015fc
PsImpersonateClient:: 0x6005d0
HalpTimerWatchdogGeneratedLastReset:: 0x7c2450
RtlAddRange:: 0x752280
PoFxIdleDevice:: 0x359974
PfpPrefetchRequestPerform:: 0x639810
RtlpAnalyzeHeapFailure$filt$0:: 0x59ba72
CmRegisterSystemHiveLimitCallback:: 0x798970
ExpGetNtProductTypeFromLicenseValue:: 0x781b78
SeCodeIntegritySetInformationProcess$filt$0:: 0x9281bf
CcLazyWriteScan:: 0x27fff0
PspSendReliableJobNotification:: 0x6ff4ec
HalpInitializeDeferredErrorVector:: 0x38e5f8
PoFxPlatformRequestHandler:: 0x3b0e20
RtlCmEncodeMemIoResource:: 0x392480
PnpGetDeviceResourcesFromRegistry:: 0x73d094
PfVerifyScenarioId:: 0x64a444
MiPopulateCfgBitMap:: 0x662770
PopFreeHiberContext:: 0x7693f8
CcAddDirtyPagesToExternalCache:: 0x37cda0
MiSnapDriverRange:: 0x74ce1c
EtwpGetSchematizedFilterSize:: 0x60a938
_CmDeleteDeviceInterface:: 0x71bec4
HalpTimerSchedulePeriodicQueries:: 0x3b76fc
MmCreatePartition:: 0x3b3a34
EtwTraceContextSwap:: 0x3939e0
SleepstudyHelperCreateLibrary:: 0x7ba520
PsSuspendThread:: 0x70bef0
HvlEnlightenProcessor:: 0x392058
PoRegisterCoalescingCallback:: 0x787da0
ExpDeleteTimer:: 0x2e8ec0
MiFlushAllPages:: 0x37075c
CmpTraceHiveMountStop:: 0x6a6290
PiUEventHandleGetEvent:: 0x680758
KiDisconnectInterruptCommon:: 0x361bbc
NtSetSystemInformation:: 0x637680
ExCheckFullProcessInformationAccess:: 0x6a69d8
SepSetTokenCachedHandles:: 0x6da3e0
PopFxNotifySystemStateTransition:: 0x36e450
AlpcpDispatchReplyToPort:: 0x659d40
AlpcViewDestroyProcedure:: 0x5ea360
MiFlushStrongCodeDriverLoadFailures:: 0xa6ac3c
KeAbPostRelease:: 0x226200
ExpFreeOwnerEntry:: 0x284c90
CmpCloneKCBValueListForTrans:: 0x70d6a0
PopGetDope:: 0x384234
CmpDeleteHive:: 0x6b7a94
EmonConfigureCounter:: 0x3757cc
NtWaitForWorkViaWorkerFactory:: 0x22b320
MiGetVadWakeList:: 0x29cb30
IopAddBootDiskInformation:: 0x39da74
NtSetSystemInformation$filt$14:: 0x7d6a5a
IopQueryDeviceResetRegistrySettings:: 0xa67bf4
ConsumerPeekAndConsumeBuffer:: 0x99d23c
PspJobIoRateVolumeEntryRemoveAll:: 0x334324
