WdipSemCheckTimeout:: 0x32ad54
IopGetDriverPathInformation:: 0x18cab0
__imp_KeStallExecutionProcessor:: 0x1178
??_C@_0CP@NHJMBPCM@?$CFs?3?5Failed?5to?5set?5alpc?5call?5back@FNODOBFM@:: 0xa4820
??_C@_0BP@PHPPKGHL@?9?9?9?9Press?5?$DMEnter?$DO?5for?5more?9?9?9?9?$AA@CIFEBFPJ@:: 0x51a2d0
KiAddRange:: 0x2ae6e0
ZwAlertThread:: 0x91480
CmpIsHiveAlreadyLoaded:: 0x46ef80
RawReadWriteDeviceControl:: 0x330070
perftouchbuffer:: 0x5394ac
CmpDelayFreeRMDpc:: 0x2727a0
XIPlocate_breakin:: 0x21073c
AlpcpLogSendMessage:: 0x3cb790
IoReleaseRemoveLockEx:: 0x7eb58
PnpDetermineResourceListSize:: 0x3ab250
??_C@_0BI@PCAOFACF@?$CIDeviceTextDescription?$CJ?$AA@JKADOLAD@:: 0x4f8f70
PARTITION_SYSTEM_GUID:: 0x9bb8
MiGetSystemPteStatistics:: 0x3b6850
PopSwitchForcedShutdownSettingCallback:: 0x17afa0
??_C@_0EM@KIELOMMK@?$AN?6?$DMPROPERTY?5NAME?$DN?$CCSTOPCODE?$CC?5TYPE@CIFEBFPJ@:: 0x51a3a0
NetProvGuid:: 0xaed0
FsRtlInitializeMcb:: 0x4b5b40
AlpcpGetDataFromUserVaSafe:: 0x2f39b0
EtwpDeleteRegistrationObject:: 0x439060
RtlGetCompressionWorkSpaceSize:: 0x2a3488
??_C@_07BJOIOONN@Strings?$AA@PBOPGDP@:: 0x556c60
??_C@_0M@PDMFGPMH@?2SystemRoot?$AA@PBOPGDP@:: 0x557070
??_C@_1BK@GCJNNPH@?$AAC?$AAM?$AAF?$AAS?$AAt?$AAa?$AAr?$AAt?$AAT?$AAi?$AAm?$AAe?$AA?$AA@NNGAKEGL@:: 0x35c7d0
MiLargePfnBitMap:: 0x29e468
LdrResGetRCConfig:: 0x4021f0
CcMaxVacbLevelsSeen:: 0x1e46bc
VfZwQueryInformationToken:: 0x4ff140
ExpCreateOutputARC:: 0x44fc80
PopSetAwayModeStatus:: 0x450bb0
AlpcpFreeCompletionBuffer:: 0x3b6a70
??_C@_15NFGIAIAJ@?$AAv?$AAi?$AA?$AA@:: 0x10680
towlower:: 0x83ccc
_snscanf_s:: 0x8687c
ExpParseEfiPath:: 0x44de80
MmSpecialPagesInUse:: 0x224830
RtlGetGroupSecurityDescriptor:: 0x3a5ae0
??_C@_02FPPOCJNB@?$DN?$DM?$AA@NNGAKEGL@:: 0x355aa0
ULongToPtr:: 0x7d3cc
StEtaIoComplete:: 0xe9ca0
__imp_ClfsReserveAndAppendLog:: 0x1100
FsRtlAllocatePoolWithQuotaTag:: 0x14c3f0
IoAllocateDriverObjectExtension:: 0x1869c0
FILE_TYPE_NOTIFICATION_GUID_CRASHDUMP_FILE:: 0xf080
ObpAccessProtectCloseBit:: 0x1e0bec
WHEA_RECORD_CREATOR_GUID:: 0xa640
VfErrorReport4:: 0x5054b0
RtlpRegTziFormatToTzi:: 0x3b3cd0
PopIsAddressRangeValid:: 0x100600
SmEventCacheTermination:: 0xb400
??_C@_15PEBPINNB@?$AAa?$AAs?$AA?$AA@:: 0x10588
CcWorkerThread:: 0x29c5c
CmpHiveFileListHandle:: 0x1fd0a8
ZwQuerySystemInformationEx:: 0x92cc0
DownLevelLanguageNameToLangID:: 0xdef70
