ExpCreateWorkerThread        ntoskrnl.exe+0x6CF858
CmpTraceSecurityChanging        ntoskrnl.exe+0x63EAE8
MiReduceZeroingThreads        ntoskrnl.exe+0x2DDBC4
PopExtendConnectionState        ntoskrnl.exe+0x7BF814
PsLookupProcessThreadByCid        ntoskrnl.exe+0x6EFBA0
HalpInterruptGenerateMessage        ntoskrnl.exe+0x375F48
PopFxProcessWork        ntoskrnl.exe+0x2C954C
MiCreatePagefile        ntoskrnl.exe+0x7A30B0
IoBuildPoDeviceNotifyList        ntoskrnl.exe+0x993F60
FsRtlpCancelOplockRHIrp$fin$0        ntoskrnl.exe+0x411F81
CcSetupWatchForRegistryChanges$fin$0        ntoskrnl.exe+0x413445
FsRtlReleaseFileForCcFlush        ntoskrnl.exe+0x69768C
LdrpGetMappingFromCacheEntry        ntoskrnl.exe+0x361D18
IoQuerySystemDeviceName        ntoskrnl.exe+0x70211C
KiPriQueueThreadPriorityChanged        ntoskrnl.exe+0x34CDA4
RtlStringCchCopyW        ntoskrnl.exe+0x36EF80
CcUninitializeCacheMap        ntoskrnl.exe+0x2C40A0
AlpcpCaptureHandleAttribute$filt$0        ntoskrnl.exe+0x7D6EDA
KiGenericCallDpcWorker        ntoskrnl.exe+0x349470
_GetBaseTypeSize        ntoskrnl.exe+0x2019C8
KiInitDynamicTraceSupport        ntoskrnl.exe+0xA45B30
IopGetSetSpecificExtension        ntoskrnl.exe+0x2289D4
ObDereferenceSecurityDescriptor        ntoskrnl.exe+0x669000
PopDispatchCallback        ntoskrnl.exe+0x7BE360
HalpWheaReadMsrStatus        ntoskrnl.exe+0x39DFAC
MmInitializeHandBuiltProcess        ntoskrnl.exe+0x7BC314
ExpQuerySystemPerformanceInformation        ntoskrnl.exe+0x6605D0
IopSynchronousServiceTail        ntoskrnl.exe+0x675750
NtReleaseSemaphore$filt$0        ntoskrnl.exe+0x7D67A0
PnpReleaseBootResourcesForFilteredRequirements        ntoskrnl.exe+0x3BC3CC
MiProcessCrcList        ntoskrnl.exe+0x714FB0
MiAllocateDriverPage        ntoskrnl.exe+0x6A9428
FsRtlCheckOplockEx2        ntoskrnl.exe+0x291130
PiDeferSetInterfaceState        ntoskrnl.exe+0x734258
EtwpIsEventNameFilterEnabled        ntoskrnl.exe+0x26D648
CmpGetToken        ntoskrnl.exe+0xA59790
PiConfigureDevice        ntoskrnl.exe+0x71DE04
PfSnCheckActionsNeeded        ntoskrnl.exe+0x6B8B9C
MiCreateSharedZeroPages        ntoskrnl.exe+0x2B7D00
StringToGuidNoBrackets        ntoskrnl.exe+0x3B9B9C
HalpApicDescribeLocalLines        ntoskrnl.exe+0x3AE824
WbProcessStartup        ntoskrnl.exe+0x710AD8
ObpCreateDosDevicesDirectory        ntoskrnl.exe+0x7889C8
CcMdlRead$fin$0        ntoskrnl.exe+0x7D42FE
KiSetAffinityThread        ntoskrnl.exe+0x30BA40
MiLockWorkingSetShared        ntoskrnl.exe+0x2AC070
NtGetNlsSectionPtr$filt$0        ntoskrnl.exe+0x7D71CF
KiSwapProcess        ntoskrnl.exe+0x2055A0
PopDripsWatchdogInitialize        ntoskrnl.exe+0xA70C38
ExInterlockedRemoveHeadList        ntoskrnl.exe+0x330AE0
PopDiagTraceFxDevicePowered        ntoskrnl.exe+0x2CA110
MiEmptyPteBins        ntoskrnl.exe+0x27C980
KeAddTriageDumpDataBlock        ntoskrnl.exe+0x3C6940
KsepGetLoadedModulesList        ntoskrnl.exe+0x7AB5C4
KdRegisterDebuggerDataBlock        ntoskrnl.exe+0x9B2434
EtwpFreeCompression        ntoskrnl.exe+0x2FFA6C
PpmUpdateIdleStates        ntoskrnl.exe+0x77E8A0
_CmGetCommonClassRegKeyPath        ntoskrnl.exe+0x5DBF20
CmpGetSecurityDescriptorNode        ntoskrnl.exe+0x63E6C4
RtlStringCchCopyA        ntoskrnl.exe+0x356A84
IopRegistryCallback        ntoskrnl.exe+0x786190
MiDrainSystemAccessLog        ntoskrnl.exe+0x24BBE0
RtlpProcessIFEOKeyFilter        ntoskrnl.exe+0x6F6748
PnpQueryRemoveLockedDeviceNode        ntoskrnl.exe+0x721F9C
ST_STORE<SM_TRAITS>::StDmpSinglePageLookup        ntoskrnl.exe+0x30627C
MiApplyRetpolineFixups        ntoskrnl.exe+0x32AE0C
MmOnlySystemCacheViewsPresent        ntoskrnl.exe+0x320568
WmipLegacyEtwWorker        ntoskrnl.exe+0x7B2BA0
RtlpPopUserShadowStack        ntoskrnl.exe+0x35F48C
NtQueryMultipleValueKey        ntoskrnl.exe+0x654D60
MiMapViewOfSectionExCommon        ntoskrnl.exe+0x6B60E0
MiRebuildPageTableLeafAges        ntoskrnl.exe+0x3016B0
EmClientRuleEvaluate        ntoskrnl.exe+0x98D350
MmQueryWorkingSetInformation        ntoskrnl.exe+0x27D4F4
NtSetSystemEnvironmentValue$filt$0        ntoskrnl.exe+0x952121
IoCreateDriver        ntoskrnl.exe+0x78E0A0
PfSnQueryVolumeInfo        ntoskrnl.exe+0x6BDA2C
PoQueryWatchdogTime        ntoskrnl.exe+0x2C48E0
MmInitializeHandBuiltProcess2        ntoskrnl.exe+0x7BE1E4
Phase1Initialization        ntoskrnl.exe+0x785F80
MiCreateNewProcessTopLevelMappings        ntoskrnl.exe+0x2E216C
RtlGetExtendedContextLength2        ntoskrnl.exe+0x2E9C80
RtlSetAllBitsEx        ntoskrnl.exe+0x3C7E80
SmIoRequestComplete        ntoskrnl.exe+0x2D0398
EtwpLoadMicroarchitecturalPmcs        ntoskrnl.exe+0x799F88
XmGetStringAddress        ntoskrnl.exe+0x3BDF2C
HalpRestoreDmaControllerState        ntoskrnl.exe+0x992490
PoInitHiberServices        ntoskrnl.exe+0x783918
KiWakeQueueWaiter        ntoskrnl.exe+0x280080
KeAcquireInStackQueuedSpinLock        ntoskrnl.exe+0x2C0D30
PnpSetDeviceAffinityThread        ntoskrnl.exe+0x271698
MiCheckFatalAccessViolation        ntoskrnl.exe+0x34CCF0
NtAlpcCreateResourceReserve        ntoskrnl.exe+0x6E2B90
PspInitializeProtectedProcessParameters        ntoskrnl.exe+0x7B224C
CcForceWriteThrough        ntoskrnl.exe+0x35A8DC
LdrpGetFromMUIMemCache        ntoskrnl.exe+0x362734
PfpFlushBuffers        ntoskrnl.exe+0x6CE710
CmpInitializeRegistryProcess        ntoskrnl.exe+0x781C8C
KsepRegistryQuerySZ        ntoskrnl.exe+0x7AC770
RtlCmDecodeMemIoResource        ntoskrnl.exe+0x35E770
SeCaptureSidAndAttributesArray        ntoskrnl.exe+0x6305B0
wil_details_StagingConfig_Load        ntoskrnl.exe+0x389BB8
CcGetVacbMiss        ntoskrnl.exe+0x2BE250
SeDefaultObjectMethod        ntoskrnl.exe+0x6695B0
PspUnlockProcessListExclusive        ntoskrnl.exe+0x26A584
KiProcessThreadWaitList        ntoskrnl.exe+0x280AB0
NtSetIoCompletionEx        ntoskrnl.exe+0x672EF0
WheaLogInternalEvent        ntoskrnl.exe+0x3B7750
EtwpUpdateRegEntryEnableMask        ntoskrnl.exe+0x633EC8
HalpSetTimer        ntoskrnl.exe+0x2FE424
HalpAuditSlicTables        ntoskrnl.exe+0xA5C810
ExpFreeHandleTableEntry        ntoskrnl.exe+0x69AECC
MiGetPhysicalMemoryRanges        ntoskrnl.exe+0x75CEE8
CmpCloseKeyObject        ntoskrnl.exe+0x6D7460
PfpPfnPrioRequest        ntoskrnl.exe+0x5F0C80
RtlpCreateHashTable        ntoskrnl.exe+0x373E30
IopCreateArcNamesDisk        ntoskrnl.exe+0xA67204
PiDevCfgConfigureDeviceDriver        ntoskrnl.exe+0x7550A0
IoCancelThreadIo        ntoskrnl.exe+0x6B0F30
PnpNotifyTargetDeviceChange        ntoskrnl.exe+0x648470
DbgUnicodeStringToAnsiString        ntoskrnl.exe+0x36F934
PipApplyFunctionToServiceInstances        ntoskrnl.exe+0x7AEAF0
KsepDbCacheQueryDevice        ntoskrnl.exe+0x749948
FsRtlNotifyFilterChangeDirectoryLite$fin$0        ntoskrnl.exe+0x7D6C15
PopIdleCancelAoAcDozeS4Timer        ntoskrnl.exe+0x37F834
KeQuerySchedulingGroupReadyTime        ntoskrnl.exe+0x3451F4
KeInitializeSchedulerAssist        ntoskrnl.exe+0xA44750
VrpHandleIoctlCreateNamespaceNode        ntoskrnl.exe+0x5CA0DC
HalpAcquireCmosSpinLock        ntoskrnl.exe+0x341ECC
PoClearPowerRequest        ntoskrnl.exe+0x275F60
MiScanPagefiles        ntoskrnl.exe+0x2F34D8
_CmGetDeviceMappedProperty        ntoskrnl.exe+0x6BEE8C
SepCleanupLUIDDeviceMapDirectory        ntoskrnl.exe+0x6F56A4
IopSymlinkPropagateToExtensionIfNeeded        ntoskrnl.exe+0x678CA0
HalpDmaIsThinApiCapable        ntoskrnl.exe+0x3C4210
MiUpdateLastSubsectionSize        ntoskrnl.exe+0x358F54
MiUnlockDynamicMemoryExclusive        ntoskrnl.exe+0x26ADE8
PnpDeviceCompletionQueueIsEmpty        ntoskrnl.exe+0x36B114
MmFlushVirtualMemory        ntoskrnl.exe+0x6FF7E4
RtlpFreeHeapInternal        ntoskrnl.exe+0x2DB2F4
NtCreateEnclave$filt$0        ntoskrnl.exe+0x8D0BB2
IoWMIQuerySingleInstance        ntoskrnl.exe+0x7415D0
MiDeprioritizeVad        ntoskrnl.exe+0x37F900
CmSetLazyFlushState        ntoskrnl.exe+0x767E1C
CmpKeyEnumStackAdvanceInternal        ntoskrnl.exe+0x717FBC
MiInitializeLargePageColorSizes        ntoskrnl.exe+0x3A8B40
_RegRtlOpenKeyTransacted        ntoskrnl.exe+0x5E1D30
ExpSetDriverEntry$filt$0        ntoskrnl.exe+0x94E992
AlpcpCreateSecurityContext        ntoskrnl.exe+0x689D54
WbDecryptWarbirdEncryptionSegmentBlockV0        ntoskrnl.exe+0x5CE220
MiEmptyKernelStackCache        ntoskrnl.exe+0x3CCB44
PopDiagTraceFxDevicePowerRequirement        ntoskrnl.exe+0x2C9918
PopAcquireAdaptiveLock        ntoskrnl.exe+0x711EE0
KeInsertQueueEx        ntoskrnl.exe+0x339254
RtlUnicodeToOemN        ntoskrnl.exe+0x6E44C0
PopDiagTraceIrpStart        ntoskrnl.exe+0x36D0C4
PopCallPowerSettingCallback        ntoskrnl.exe+0x6A4B90
CmpVolumeContextUnlockExclusive        ntoskrnl.exe+0x7B6390
LookupSidInTable        ntoskrnl.exe+0x68E26C
CmpNotifyChangeKey        ntoskrnl.exe+0x5E2980
FsRtlCheckUpperOplock$fin$0        ntoskrnl.exe+0x888BF4
CcSetAdditionalCacheAttributesEx        ntoskrnl.exe+0x2C47B0
MiInitializePagefileBitmapsCache        ntoskrnl.exe+0x3BCD44
HalpCalculateScatterGatherListSize        ntoskrnl.exe+0x322DA0
MiRemoveMappedPtes        ntoskrnl.exe+0x25A8C0
PnpAllocatePWSTR        ntoskrnl.exe+0x5DBA78
KiTimerExpirationDpc        ntoskrnl.exe+0x3867F0
MiObtainFaultCharges        ntoskrnl.exe+0x2ADC10
PopBatteryUpdateAlarms        ntoskrnl.exe+0x785010
MiInsertNumaStandbyPage        ntoskrnl.exe+0x2793E0
FopGetTableOffsetAndSize        ntoskrnl.exe+0xA93DD8
IoApplyPriorityInfoThread        ntoskrnl.exe+0x2C7A40
TxtpAddCacheEntry        ntoskrnl.exe+0x9F15FC
PsImpersonateClient        ntoskrnl.exe+0x681050
HalpTimerWatchdogGeneratedLastReset        ntoskrnl.exe+0x7C2370
RtlAddRange        ntoskrnl.exe+0x751250
PoFxIdleDevice        ntoskrnl.exe+0x36B4A4
PfpPrefetchRequestPerform        ntoskrnl.exe+0x6D0C88
