?StpKeyCompare@?$ST_STORE@USM_TRAITS@@@@SAHPEBX0@Z:: 0x106a20
ExfReleasePushLockShared:: 0x63fa0
MmCaptureAllWorkingSetAccessBits:: 0x135b80
??_C@_17IIEAJKPD@?$AA?4?$AAT?$AAM?$AA?$AA@:: 0x1b2850
??_C@_1HI@JJAPFIHO@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAL?$AAa?$AAs?$AAt?$AAK?$AAn?$AAo@NNGAKEGL@:: 0x3759f0
ZwWriteVirtualMemory:: 0x684e0
TmpRecoverUnicodeString:: 0x3e80d0
PopUmpoSendInitialPowerState:: 0x17e5f0
CcSetAdditionalCacheAttributes:: 0x3757c
MiPutPhase0LargePagesOnFreeList:: 0x574c40
??_C@_1BC@NMMBPOGN@?$AAn?$AAd?$AAi?$AAs?$AA?4?$AAs?$AAy?$AAs?$AA?$AA@GHGBBCHJ@:: 0x546068
ViSwap:: 0x50cb30
NtCreateProcessEx:: 0x4e26a0
??_C@_0DB@OELHKNHO@Driver?5is?5attempting?5to?5map?5a?50?9@JKADOLAD@:: 0x4f73f0
ObAssignSecurity:: 0x2cef18
TmpPromoteTransaction:: 0x44ec10
AlpcpMessageLogListHead:: 0x2698c0
MiParseImageSectionHeaders:: 0x32dcf0
PsGetProcessInheritedFromUniqueProcessId:: 0x3ed98
??_C@_0P@OJGFJBNK@?0?5InPath?$DNTRUE?$CJ?$AA@JKADOLAD@:: 0x4f8000
PopHvRootIdle:: 0xfea00
IoCsqRemoveIrp:: 0x1026d0
PspJobTimeLimitsInterval:: 0x360c68
PnpCreateDeviceEventEntry:: 0x2d66f0
??_C@_1DO@HBNMGCKD@?$AA?2?$AAD?$AAe?$AAv?$AAi?$AAc?$AAe?$AA?2?$AAH?$AAa?$AAr?$AAd?$AAd?$AAi?$AAs?$AAk?$AA?$CF?$AAd?$AA?2?$AAP?$AAa?$AAr?$AAt?$AAi?$AAt?$AAi?$AAo?$AAn?$AA?$CF?$AAd?$AA?$AA@PBOPGDP@:: 0x56c8c0
Kd_SETUP_Mask:: 0x20004c
xHalGetInterruptVector:: 0x94180
PiProcessStartSystemDevices:: 0x45c210
KiSynchronizationCounterSetCallback:: 0x128700
??_C@_1BM@NFLFDCDM@?$AAP?$AAr?$AAi?$AAm?$AAa?$AAr?$AAy?$AAD?$AAC?$AAa?$AAc?$AAh?$AAe?$AA?$AA@LBKOJDO@:: 0x360a68
EtwpFailLogging:: 0x106230
CmpCmdRenameHive:: 0x472820
FsRtlSplitLargeMcb:: 0x194fd0
g_BufferedWorkItems:: 0x213670
IovpAdvanceStackDownwards:: 0x4fae00
??_C@_1EM@LAIHKMAN@?$AAK?$AAR?$AAN?$AAL?$AA?3?$AA?5?$AAF?$AAa?$AAi?$AAl?$AAe?$AAd?$AA?5?$AAt?$AAo?$AA?5?$AAr?$AAe?$AAa?$AAs?$AAs?$AAi?$AAg?$AAn?$AA?5?$AAs?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?5@CIFEBFPJ@:: 0x519790
SmcGetCacheStats:: 0x465dd0
KNetEvt_AcceptIPV6:: 0x1af7d0
IopPortAddAllocation:: 0x4791f0
SeIncreaseWorkingSetPrivilege:: 0x538510
PerfLogExecutiveResourceAcquire:: 0x114b80
??_C@_1BM@FKNDABPG@?$AAL?$AAa?$AAr?$AAg?$AAe?$AAP?$AAa?$AAg?$AAe?$AAD?$AAL?$AAL?$AAs?$AA?$AA@LBKOJDO@:: 0x3620b8
??_C@_1CK@MGPMLEDB@?$AAW?$AAo?$AAr?$AAk?$AAi?$AAn?$AAg?$AAS?$AAe?$AAt?$AAP?$AAa?$AAg?$AAe?$AAs?$AAQ?$AAu?$AAo?$AAt?$AAa?$AA?$AA@LBKOJDO@:: 0x361fe0
GuidFormat:: 0x361350
WmipOpenBlock:: 0x2da928
MmNonPagedPoolLock:: 0x2a9500
SepConcatenatePrivileges:: 0x390240
PpCriticalGetDeviceLocationStrings:: 0x43d820
KiCallUserMode:: 0x67180
PnpInitializeNotifyEntry:: 0x46a640
VfGenericInit:: 0x5023f0
PopDiagTraceAwayMode:: 0x417f00
POP_ETW_EVENT_TIME_RESOLUTION_STACK_RUNDOWN:: 0x1b01b0
??_C@_1DC@KHOJOKN@?$AAV?$AAe?$AAr?$AAi?$AAf?$AAi?$AAe?$AAr?$AAF?$AAa?$AAu?$AAl?$AAt?$AAB?$AAo?$AAo?$AAt?$AAM?$AAi?$AAn?$AAu?$AAt?$AAe?$AAs?$AA?$AA@:: 0x1b1f58
NtSystemRoot:: 0x276540
PopIdleScanDpc:: 0x21f720
KdPrintWritePointer:: 0x1e8090
PnpInitializeDeviceEvents:: 0x57f050
_RtlpMuiRegInitAnyLanguage:: 0x47b100
ComposeHangulLVT:: 0x111b80
KeFreeTebSelector:: 0x3e03f0
KdpDataBlockEncoded:: 0x21044a
MmImageProtectionArray:: 0x1add58
CmpFinishSystemHivesLoad:: 0x4c34e0
IopRemoveHardErrorPacket:: 0x11aba0
NormalizationList__Unlock:: 0x173410
MiConvertStaticSubsections:: 0x119270
GUID_PROCESSOR_IDLE_DISABLE:: 0x1b35c0
??_C@_0DM@MMGIBEFD@COV?3?5Stored?5coverage?5section?5in?5@NNGAKEGL@:: 0x37a6e0
??_C@_1BK@HFOEHBHO@?$AAT?$AAa?$AAb?$AAl?$AAe?$AAV?$AAe?$AAr?$AAs?$AAi?$AAo?$AAn?$AA?$AA@LBKOJDO@:: 0x3622e8
??_C@_1BM@JIPCCEDL@?$AAW?$AAi?$AAn?$AAd?$AAo?$AAw?$AAS?$AAt?$AAa?$AAt?$AAi?$AAo?$AAn?$AA?$AA@GHGBBCHJ@:: 0x546688
PsMapSystemDlls:: 0x316bbc
GUID_VERIFIER_WMI_INTERFACE:: 0x546e68
PspDisableExceptionChainValidation:: 0x2a74ac
??_C@_1O@ILPHNMBF@?$AAL?$AAO?$AAO?$AAK?$AAU?$AAP?$AA?$AA@:: 0x1b67a0
??_C@_0CK@CMBKKJEO@Invalid?5source?5hotpatch?5validati@NNGAKEGL@:: 0x378050
CmpFileWrite:: 0x30d93c
CmCSDVersionString:: 0x276490
PsGetProcessDebugPort:: 0xfe7a0
ExResourceTimeoutCount:: 0x213550
__imp_RtlEthernetAddressToStringW:: 0x1b6bd0
??_C@_17JCBKHJFJ@?$AAM?$AAU?$AAI?$AA?$AA@FNODOBFM@:: 0xac360
??_C@_1BK@FPEOEPEO@?$AAm?$AAc?$AAu?$AAp?$AAd?$AAa?$AAt?$AAe?$AA?4?$AAd?$AAl?$AAl?$AA?$AA@PBOPGDP@:: 0x56c730
RtlGetVersion:: 0x409210
RtlpStdListRemove:: 0xfe480
xHalDpReplayInterrupts:: 0x2adc90
FsRtlLockInfoLookasideList:: 0x1f3400
PopExecuteOnTargetProcessors:: 0x27060
WmipGenerateRegistrationNotification:: 0x43bb10
RebalanceNode:: 0x95074
FsRtlGetFileSize:: 0x351714
RtlCompareString:: 0x3ea370
TmpPromotingProtocolId:: 0x1e5540
FsRtlNumberOfRunsInBaseMcb:: 0x878a0
RtlpNormListInitGuardEnter:: 0x2113e0
IoKernelIssuedIoBoostedCount:: 0x27404c
CmSelfHeal:: 0x1e8fd4
BgpFoGetTextMetrics:: 0x51ccc0
WdipSemEnableSemProvider:: 0x4526c0
PopWakeSourceWorkInProgress:: 0x21f510
EmpParseTargetRuleStringIndexList:: 0x5849e0
??_C@_1M@MCMADGCB@?$AAd?$AAe?$AA?9?$AAD?$AAE?$AA?$AA@:: 0x1b4a88
PopWriteHiberImage:: 0x2b0c40
PfpRpControlRequest:: 0x4bb7d0
PfpSourceBuildVaArray:: 0x46e5d0
PfSnGetCompletedTrace:: 0x46e250
PopAllocateHiberContext:: 0x4f0860
MiDeletePhysicalProcessPages:: 0x42d220
??_C@_08HKMPDHA@?$BL?$FL?$CFd?$DL?$CFdH?$AA@CIFEBFPJ@:: 0x519080
??_C@_1CA@EDHKDGFM@?$AAP?$AAR?$AAO?$AAB?$AAL?$AAE?$AAM?$AAS?$AAE?$AAV?$AAE?$AAR?$AAI?$AAT?$AAY?$AA?$AA@:: 0x1b6260
??_C@_1KK@IBFBOAIN@?$AA?2?$AAr?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAm?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAY?$AAS?$AAT?$AAE?$AAM?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@NNGAKEGL@:: 0x375e90
wcsspn:: 0xbb66c
MiShutdownSystem:: 0x2b8d20
KiDivideErrorFault:: 0x6c580
ExpHotpatchQueryLock:: 0x2141e0
RtlpMuiRegCreateKernelRegistryInfo:: 0x185cf0
?NpInitialize@NP_CONTEXT@@SAXPEAU1@@Z:: 0x106fb0
PltRotBarStatus:: 0x1fff2c
VfZwCreateEvent:: 0x4ffd00
WdipSemCheckTimeout:: 0x2fb718
IopGetDriverPathInformation:: 0x1833f0
__imp_KeStallExecutionProcessor:: 0x1a60d8
