KiSwapProcess        ntoskrnl.exe+0x2C6D70
ExInterlockedRemoveHeadList        ntoskrnl.exe+0x36D5C0
PopDiagTraceFxDevicePowered        ntoskrnl.exe+0x2BDE88
MiEmptyPteBins        ntoskrnl.exe+0x26E450
KeAddTriageDumpDataBlock        ntoskrnl.exe+0x3D2540
KdRegisterDebuggerDataBlock        ntoskrnl.exe+0xA6E41C
MiUnmapFrameBuffer        ntoskrnl.exe+0x200EF0
EtwpFreeCompression        ntoskrnl.exe+0x223010
PpmUpdateIdleStates        ntoskrnl.exe+0x821B20
_CmGetCommonClassRegKeyPath        ntoskrnl.exe+0x7B7CD4
CmpGetSecurityDescriptorNode        ntoskrnl.exe+0x7368B4
RtlStringCchCopyA        ntoskrnl.exe+0x245A34
IopRegistryCallback        ntoskrnl.exe+0x833CF0
KdpSendWaitContinue        ntoskrnl.exe+0xA6C984
MiDrainSystemAccessLog        ntoskrnl.exe+0x35972C
RtlpProcessIFEOKeyFilter        ntoskrnl.exe+0x69A858
ST_STORE<SM_TRAITS>::StDmpSinglePageLookup        ntoskrnl.exe+0x38DA74
MiApplyRetpolineFixups        ntoskrnl.exe+0x219CAC
MmOnlySystemCacheViewsPresent        ntoskrnl.exe+0x260BD0
WmipLegacyEtwWorker        ntoskrnl.exe+0x83CD30
NtQueryMultipleValueKey        ntoskrnl.exe+0x70D150
MiMapViewOfSectionExCommon        ntoskrnl.exe+0x6E4598
MiRebuildPageTableLeafAges        ntoskrnl.exe+0x2F10B0
EmClientRuleEvaluate        ntoskrnl.exe+0xA44A60
MmQueryWorkingSetInformation        ntoskrnl.exe+0x34EE80
NtSetSystemEnvironmentValue$filt$0        ntoskrnl.exe+0x9FE9C1
IoCreateDriver        ntoskrnl.exe+0x825460
PfSnQueryVolumeInfo        ntoskrnl.exe+0x6D08C4
PoQueryWatchdogTime        ntoskrnl.exe+0x21F8A0
MmInitializeHandBuiltProcess2        ntoskrnl.exe+0x8492CC
Phase1Initialization        ntoskrnl.exe+0x833AE0
MiCreateNewProcessTopLevelMappings        ntoskrnl.exe+0x21C670
RtlGetExtendedContextLength2        ntoskrnl.exe+0x2865B0
KiCheckStall        ntoskrnl.exe+0x2D6660
RtlSetAllBitsEx        ntoskrnl.exe+0x3B2AC0
SmIoRequestComplete        ntoskrnl.exe+0x376FFC
ExpRegisterCounterSet        ntoskrnl.exe+0x8439F0
EtwpLoadMicroarchitecturalPmcs        ntoskrnl.exe+0x84AF48
IopReadFile        ntoskrnl.exe+0x33A530
XmGetStringAddress        ntoskrnl.exe+0x3C7ABC
HalpRestoreDmaControllerState        ntoskrnl.exe+0xA4CDEC
KiWakeQueueWaiter        ntoskrnl.exe+0x2C4A30
KeAcquireInStackQueuedSpinLock        ntoskrnl.exe+0x2E46A0
PnpSetDeviceAffinityThread        ntoskrnl.exe+0x27718C
MiCheckFatalAccessViolation        ntoskrnl.exe+0x22CAA0
NtAlpcCreateResourceReserve        ntoskrnl.exe+0x6A50E0
PspInitializeProtectedProcessParameters        ntoskrnl.exe+0x825B68
CcForceWriteThrough        ntoskrnl.exe+0x2492C0
LdrpGetFromMUIMemCache        ntoskrnl.exe+0x208D44
PfpFlushBuffers        ntoskrnl.exe+0x6CC020
CmpInitializeRegistryProcess        ntoskrnl.exe+0x83D1F0
KsepRegistryQuerySZ        ntoskrnl.exe+0x823D20
RtlCmDecodeMemIoResource        ntoskrnl.exe+0x3841B0
SeCaptureSidAndAttributesArray        ntoskrnl.exe+0x7427F0
CcGetVacbMiss        ntoskrnl.exe+0x2E8170
SeDefaultObjectMethod        ntoskrnl.exe+0x6FF990
PspUnlockProcessListExclusive        ntoskrnl.exe+0x2B52E8
KiProcessThreadWaitList        ntoskrnl.exe+0x2CD360
IopGetNetworkOpenInformation        ntoskrnl.exe+0x65A970
NtSetIoCompletionEx        ntoskrnl.exe+0x674130
WheaLogInternalEvent        ntoskrnl.exe+0x3BCC30
EtwpUpdateRegEntryEnableMask        ntoskrnl.exe+0x6D9208
HalpSetTimer        ntoskrnl.exe+0x2C3050
HalpAuditSlicTables        ntoskrnl.exe+0xAFE49C
ExpFreeHandleTableEntry        ntoskrnl.exe+0x78AB4C
MiGetPhysicalMemoryRanges        ntoskrnl.exe+0x83A338
CmpCloseKeyObject        ntoskrnl.exe+0x711320
PfpPfnPrioRequest        ntoskrnl.exe+0x780110
RtlpCreateHashTable        ntoskrnl.exe+0x210B60
IopCreateArcNamesDisk        ntoskrnl.exe+0xB055F4
PiDevCfgConfigureDeviceDriver        ntoskrnl.exe+0x66C698
