CmpAddToDelayedClose:: 0x4a1d94
RtlCreateUserProcess:: 0x7a4b34
PfFileInfoNotify:: 0x8e40
SmFirstTimeInit:: 0x47bc34
EtwSetInformation:: 0x517c90
IopTestConfiguration:: 0x53e7e0
AdtpBuildMessageString:: 0x54f0b4
MiDereferenceSegmentThread:: 0x132ad0
MiUnmapVad:: 0x41a0f0
IopGetSetObjectId:: 0x4ac1e0
PnpFreeInterruptInformation:: 0x4e032c
FlushTimerCallbackKernelMode:: 0xf8058
MiLoadUserSymbols:: 0x561754
KeGetAffinitizedInterruptsInfo$filt$0:: 0x1d37e5
PspNotificationPacketCallback:: 0x497d0c
IopGetFileVolumeNameInformation:: 0xeee30
DbgkCreateThread:: 0x44e764
CmpTraceHiveLoadStart:: 0x5070e4
PopFilterCapabilities:: 0x4e891c
PopUmpoInitializeChannel:: 0x7aea48
AslpFileGetImageNtHeader$filt$0:: 0x6beb32
SeInitSystem:: 0x7a47c0
PspEnforceLimits:: 0x437040
SeCopyClientToken:: 0x48c440
KeBalanceSetManager:: 0x13014c
AlpcpAllocateMessage:: 0x469bb8
MiUnmapImageInSystemSpace:: 0x43f390
PsGetEffectiveContainerId:: 0xe956c
PiCMGetDeviceInterfaceAlias:: 0x50af8c
PopHandleNextState:: 0x3bf4f0
SdbInitDatabaseInMemory:: 0x3da1d4
MiMakeSystemCacheRangeValid:: 0x4edf0
PspCallProcessNotifyRoutines:: 0x4374f4
IopAddTriageDumpDataBlock:: 0x13d950
TtmpDisplayBurstPowerSettingCallback:: 0x5627bc
_CmGetMatchingFilteredDeviceInterfaceListWorker:: 0x546f1c
PnpFixupID:: 0x4e6884
PopHandleWakeSources:: 0x3c371c
PipClearDevNodeUserFlags:: 0x4e4b98
CmpDelayDerefKeyControlBlock:: 0x3ed5cc
KeSetEvent:: 0x33900
IopWaitForSynchronousIo:: 0xffb8c
PfpOpenHandleCreate:: 0x4fe210
PoDiagCaptureUsermodeStack:: 0x4d4724
NtCreateRegistryTransaction:: 0x4ce79c
MiGetTopLevelPfn:: 0xc1650
CmObReferenceObjectByHandle:: 0x500160
NtQueryDefaultLocale$filt$0:: 0x578bc5
ExSetTimer:: 0xca90c
HvpMapEntryIsBinPresent:: 0x9ceb4
FsRtlSendModernAppTermination:: 0xef370
PfSnActivateTrace:: 0xc5b04
SmHpBufferUpdateFullness:: 0x10b084
MiMapBBTMemory:: 0x7b36e4
PspAssignProcessToJob:: 0x3e1124
ExpAllocateBigPool:: 0x10740
MmImageSectionPagable:: 0x49f270
CountUnicodeToUTF8:: 0x1392f8
PiCMGetDeviceInterfaceList:: 0x4ea1e4
SdbpFindMatcher:: 0x555828
FsRtlCheckUpperOplock:: 0x52c6d4
KiAddThreadToPrcbQueue:: 0xd6aa0
ObWaitForSingleObject$filt$0:: 0x5790af
WmipSecurityMethod:: 0x4c5ca0
SepAddLuidToIndexEntry:: 0x43f570
PopCreateDumpMdl:: 0x3bfb2c
SmArrayGrow:: 0x11832c
NtCreateTimer:: 0x4118dc
InitSkuSessionParameters:: 0x7b14c8
CcFindBitmapRangeToDirty:: 0xe619c
KiVerifyXcpt12$filt$3:: 0x7b8a7e
CmpTransWriteLog:: 0x5044b4
PopSetPowerSettingValue:: 0x4f6f50
ExProcessorCounterSetCallback:: 0x3eba94
FsRtlQueryInformationFile$fin$0:: 0x618be1
RtlpLookupLowBox:: 0x75d34
PfFbLogEntryReserve:: 0x74a4c
MiUpdatePageTableUseCount:: 0xaa988
IopQueryResourceHandlerInterface:: 0x53fde8
AslpFileMappingGetFileKind$filt$0:: 0x57970b
KiVerifyXcpt12$filt$4:: 0x7b8aa1
PfTLoggingWorker:: 0x543dc0
WmipLinkDataSourceToList:: 0x51dee0
CreateTlgAggregateSession:: 0x13bbe0
FsRtlTruncateSmallMcb$filt$0:: 0x2289e6
RtlFindNextForwardRunClearCappedEx:: 0x78470
CmpCleanupTransactionState:: 0x509544
KiAbTryIncrementIoWaiterCounts:: 0x65d0
KdpCreateRemoteFile:: 0x6e9548
PspCreateObjectHandle:: 0x46ef34
KiVerifyXcptFinally$fin$0:: 0x7b8c29
LdrpResGetResourceDirectory:: 0x473fdc
RaspScaleCoordinates:: 0x11d420
MiRemoveViewsFromSection:: 0x81678
KiVerifyXcptFinally$fin$1:: 0x7b8c62
SMKM_STORE<SM_TRAITS>::SmStCheckResident:: 0x111248
PpvUtilCallAddDevice:: 0x122f78
ExUpdateOsPfnInRegistry$fin$0:: 0x6a59d8
MiMakeSystemAddressValidSystemWs:: 0xc2930
MiEnablePartitionMappedWrites:: 0x4395dc
IopValidateSectionSize:: 0x1c2dcc
KiAcquireKobjectLockSafe:: 0xccd80
HvlDebuggerSupportInitialize:: 0x13ed2c
CcSetVacbInFreeList:: 0x7aca4
KeQueryLogicalProcessorRelationship:: 0x15308
MiFlushRelease:: 0xfcdb4
CmpInitServerSilo:: 0x78c2c4
CcFreeUnusedVacbLevels:: 0xd97d8
RtlpConvertFunctionEntry:: 0x1324e0
PspInitializeThunkContext:: 0x44ebec
KiSetProcessorIdle:: 0xf17d8
SeQuerySessionIdTokenEx:: 0x45c498
PnpCompileDeviceInstancePaths:: 0x4ae8e4
CmpParseInfBuffer:: 0x7a03c8
CmpGetKcbAtLayerHeight:: 0x3ffe20
SepDeleteAccessState:: 0xe680
HvpMapHiveImageFromFile:: 0x486938
FsRtlpOplockSendModernAppTermination:: 0xef298
IopAllocateIrpPrivate:: 0x3b7d0
FsRtlpOplockBreakByCacheFlags:: 0x93554
KsepCacheLookup:: 0x3da954
MiTrimSegmentCache:: 0x13e400
NtQueryDriverEntryOrder$filt$0:: 0x6aba56
EtwpWriteUserEvent:: 0x412110
IopQueryNameInternal$fin$0:: 0x574df0
PiDqIrpQueryCreate$filt$0:: 0x57794b
PspAllocateRateControl:: 0x3ddac0
B_TREE<unsigned long,ST_STORE<SM_TRAITS>::_ST_HASH_ENTRY,4096,NP_CONTEXT,ST_STORE<SM_TRAITS>::ST_HASH_ENTRY_COMPARATOR>::BTreeInsertEx:: 0x10ed30
PfSnReferenceProcessTrace:: 0x8500
FsRtlpOpBatchBreakClosePending$fin$0:: 0x6187d6
SepIsSiblingTokenByPointer:: 0x4de054
PoFxSendSystemLatencyUpdate:: 0xfe8b0
PfSnTraceGetLogEntry:: 0x9a40
CcMdlRead:: 0x4a7980
KiCheckMaxOverQuotaTransition:: 0x17c44
IopRetrieveTransactionParameters:: 0x49caf0
KeFreezeExecution:: 0xc8e40
ExRegisterCallback:: 0x123294
CmpInitializeFreezeThaw:: 0x533fc0
CcZeroDataOnDisk:: 0xdbfec
ObReferenceObjectExWithTag:: 0xd8100
SmProcessQueryStoreStats:: 0x52e478
NtProtectVirtualMemory:: 0x41b760
PopGetIdleTimesCallback:: 0x17740
PspReaper:: 0x9a480
PiSwProcessRemove:: 0x4dbe54
CreateSystemRootLink:: 0x7afe14
KiIpiSendRequest:: 0x27420
KiSetupTimeIncrement:: 0x13c544
AlpcpCleanupProcessViews:: 0x443e74
AlpcpReferenceConnectedPort:: 0x3e2170
EtwpAddDataSource:: 0x480e90
MiReleaseSystemCacheView:: 0x7a768
PoFxCompleteDevicePowerNotRequired:: 0x125598
MiScanRelocationPage:: 0x43d460
AlpcpFlushMessagesPort:: 0x4692d0
PpmEventPerfState:: 0x122c50
KiWaitSatisfyMutant:: 0xcce50
SepConvertToOwnTokenClaims:: 0xc4bbc
EtwpKernelTraceRundown:: 0x3d7a70
CmpLockKcbStackTopExclusiveRestShared:: 0x4fa640
SeCreateClientSecurityEx:: 0x3f4090
CmpLockHashEntrySharedByKcb:: 0x3e1f70
PoFxAbandonDevice:: 0x4af3e4
MiHandleDriverNonPagedSections:: 0x486350
PspGetEffectiveNoWakeCharge:: 0x4496bc
NtCreateKeyedEvent:: 0x558234
PiCMGetDeviceIdList:: 0x4c0624
BapdpProcessEtwEvents:: 0x12b530
RtlDeleteAce:: 0x4cd184
MiReferenceControlArea:: 0x81ffc
CcReleaseByteRangeFromWrite:: 0x1639c
RegistryCallback:: 0x447610
FsRtlPrivateInsertSharedLock:: 0x9fea4
LdrpFetchAddressOfSecurityCookie:: 0x4cac84
PoBlockConsoleSwitch:: 0x4d3504
_CmGetDeviceControlKeyPath:: 0x5573bc
MiMapContiguousMemory:: 0xb8d30
ExpWorkerThread:: 0x66000
MiBuildImageControlArea:: 0x43dc88
ExpWatchProductTypeInitialization:: 0x78947c
EtwpFlushBufferToRealtime:: 0x504acc
WheapQueryPshedForErrorSources:: 0x79591c
ExpQuerySystemInformation$filt$6:: 0x5763d8
CcAsyncCopyRead:: 0xe7208
CmpIsKeyStackSymlink:: 0x500954
ST_STORE<SM_TRAITS>::StStart:: 0xb2b80
SmFpCleanup:: 0xb4980
PspInitializeFullProcessImageName:: 0x4b5c1c
PsImpersonateContainerOfThread:: 0x1b670
RtlAddMandatoryAce:: 0x40bab0
PlugPlayGetDeviceProperty:: 0x4ee0a0
RaspRasterize:: 0x11c9f0
CmpValueToData:: 0x545364
PfSnLogStreamCreate:: 0x3ec33c
KeQueryCurrentStackInformation:: 0x2a530
AuthzBasepCopyoutSecurityAttributes:: 0x15fcc
CompareVersions:: 0x13a694
